序号,零部件名称,供应商名称,故障类型,故障现象,原因分析,临时措施,永久措施,问题描述,D2-问题描述,发生频次,临时措施1,临时措施2,临时措施3,永久措施1,永久措施2,永久措施3,根本原因,流出原因
4706,前门密封条,时空盒数字信息有限公司,功能,短路,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B44460的前门密封条出现批量功能缺陷,在涂装车间发现15件短路缺陷,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
4707,后顶盖外板组件,时空盒数字科技有限公司,材料,间隙超差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",后顶盖外板组件在总装车间发现间隙超差问题,时空盒数字科技有限公司交付的后顶盖外板组件在工厂016检测不合格,再次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
4708,前门密封条,恩悌信息有限公司,尺寸,色差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次B73184
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B73184的前门密封条出现批量尺寸缺陷,恩悌信息有限公司交付的前门密封条在工厂008检测不合格,多次,启用备用供应商,,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
4709,前门密封条,明腾网络有限公司,电气,划伤,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",明腾网络有限公司供应的前门密封条在装配过程中出现划伤,客户反馈批次B78116的前门密封条存在电气问题,再次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
4710,线束总成,趋势传媒有限公司,电气,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B11104的线束总成出现批量电气缺陷,趋势传媒有限公司交付的线束总成在工厂008检测不合格,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
4711,车门铰链总成,易动力传媒有限公司,材料,色差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",易动力传媒有限公司供应的车门铰链总成在装配过程中出现色差,在焊装车间发现34件色差缺陷,再次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,增加红外测温仪实时监控,更新FMEA和控制计划,,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
4712,前门密封条,维旺明信息有限公司,功能,色差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",维旺明信息有限公司供应的前门密封条在装配过程中出现色差,在涂装车间发现23件色差缺陷,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
4713,车门铰链总成,菊风公司信息有限公司,尺寸,短路,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",车门铰链总成在焊装车间发现短路问题,客户反馈批次B36507的车门铰链总成存在尺寸问题,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,增加红外测温仪实时监控,更新FMEA和控制计划,,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
4714,车门铰链总成,新宇龙信息信息有限公司,功能,划伤,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",车门铰链总成在发运场发现划伤问题,新宇龙信息信息有限公司交付的车门铰链总成在工厂011检测不合格,多次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
4715,线束总成,双敏电子信息有限公司,尺寸,短路,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B14996的线束总成出现批量尺寸缺陷,客户反馈批次B14996的线束总成存在尺寸问题,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
4716,后顶盖外板组件,雨林木风计算机网络有限公司,外观,间隙超差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次B94997
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",雨林木风计算机网络有限公司供应的后顶盖外板组件在装配过程中出现间隙超差,客户反馈批次B94997的后顶盖外板组件存在外观问题,多次,启用备用供应商,,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
4717,ECU控制器,时空盒数字科技有限公司,尺寸,划伤,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次/
2. 对在制品进行100%全检
3. 启用备用供应商","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",时空盒数字科技有限公司供应的ECU控制器在装配过程中出现划伤,在商品化区域发现34件划伤缺陷,初次,立即隔离可疑批次/,启用备用供应商,,增加红外测温仪实时监控,更新FMEA和控制计划,,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
4718,ECU控制器,和泰网络有限公司,电气,压印,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",和泰网络有限公司供应的ECU控制器在装配过程中出现压印,客户反馈批次B61922的ECU控制器存在电气问题,多次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
